date,scrap_type,title,original_title,genre,score,annee,public,time,langue,pays,description,acteur
2022-12-15 09:34:39.106117,film,Groundhog Day,Groundhog Day,Comedy,8.1,1993,Tous publics,101,,United States,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."," Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray"
2022-12-15 09:35:00.149423,film,In the Name of the Father,In the Name of the Father,Biography,8.1,1993,Tous publics avec avertissement,133,,Ireland,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.," Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson, Nye Heron"
2022-12-15 09:34:47.223684,film,Dead Poets Society,Dead Poets Society,Comedy,8.1,1989,Tous publics,128,,United States,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.," Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen"
2022-12-15 09:35:05.721596,film,My Neighbor Totoro,Tonari no Totoro,Animation,8.1,1988,Tous publics,86,Japanese,Japan,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."," Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto, Tanie Kitabayashi"
2022-12-15 09:34:41.935585,film,Stand by Me,Stand by Me,Adventure,8.1,1986,Tous publics avec avertissement,89,English,United States,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."," Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland"
2022-12-15 09:34:42.102159,film,Platoon,Platoon,Drama,8.1,1986,Tous publics avec avertissement,2,"English,Vietnamese",United States,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th..., "," Keith David, Forest Whitaker, Francesco Quinn, Kevin Dillon, John C. McGinley"
2022-12-15 09:34:41.856686,film,The Terminator,The Terminator,Action,8.1,1984,Tous publics avec avertissement,107,"English,Spanish",United Kingdom,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so..., "," Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield, Lance Henriksen"
2022-12-15 09:34:27.636102,film,Gandhi,Gandhi,Biography,8.1,1982,Tous publics,191,,United Kingdom,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.," Ben Kingsley, Rohini Hattangadi, Roshan Seth, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard, John Mills, Martin Sheen, Ian Charleson, Günther Maria Halmer, Athol Fugard, Saeed Jaffrey, Geraldine James, Alyque Padamsee, Amrish Puri, Ian Bannen, Michael Bryant, John Clements, Richard Griffiths, Nigel Hawthorne, Bernard Hepton, Michael Hordern, Shreeram Lagoo, Om Puri, Virendra Razdan, Richard Vernon"
2022-12-15 09:35:03.975906,film,Blade Runner,Blade Runner,Action,8.1,1982,Tous publics avec avertissement,117,"English,German,Cantonese,Japanese,Hungarian,Arabic,Korean",United States,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.," Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh"
2022-12-15 09:34:57.801554,film,The Deer Hunter,The Deer Hunter,Drama,8.1,1978,Tous publics avec avertissement,183,"English,Vietnamese,French,Russian,Cantonese",United States,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.," Robert De Niro, John Cazale, John Savage, Christopher Walken, Meryl Streep"
2022-12-15 09:34:39.679110,film,Network,Network,Drama,8.1,1976,Tous publics avec avertissement,121,,United States,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."," Faye Dunaway, William Holden, Peter Finch, Robert Duvall, Wesley Addy"
2022-12-15 09:34:43.151740,film,Rocky,Rocky,Drama,8.1,1976,Tous publics,2,English,United States,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.," Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith"
2022-12-15 09:34:47.572819,film,Jaws,Jaws,Adventure,8.1,1975,Tous publics,124,English,United States,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."," Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton"
2022-12-15 09:34:57.348045,film,Barry Lyndon,Barry Lyndon,Adventure,8.1,1975,Tous publics,185,,United Kingdom,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.," Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger, Steven Berkoff"
2022-12-15 09:34:38.051838,film,The Exorcist,The Exorcist,Horror,8.1,1973,Tous publics avec avertissement,122,"English,Latin,Greek,French,German,Arabic,Kurdish",United States,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."," Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn, Jack MacGowran"
2022-12-15 09:34:32.427993,film,Cool Hand Luke,Cool Hand Luke,Crime,8.1,1967,12+,127,,United States,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."," Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio, Robert Drivas"
2022-12-15 09:34:31.729360,film,Persona,Persona,Drama,8.1,1966,Tous publics,83,,Sweden,A nurse is put in charge of a mute actress and finds that their personae are melding together.," Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström"
2022-12-15 09:34:37.750778,film,The Battle of Algiers,La battaglia di Algeri,Drama,8.1,1966,Tous publics,121,,Italy,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."," Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash, Ugo Paletti"
2022-12-15 09:34:32.153732,film,The Sound of Music,The Sound of Music,Biography,8.1,1965,Tous publics,172,"English,German",United States,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.," Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Peggy Wood"
2022-12-15 09:34:32.497093,film,The 400 Blows,Les quatre cents coups,Crime,8.1,1959,Tous publics,99,,France,"A young boy, left without attention, delves into a life of petty crime."," Jean-Pierre Léaud, Claire Maurier, Albert Rémy, Guy Decomble, Georges Flamant"
2022-12-15 09:35:02.205141,film,Ben-Hur,Ben-Hur,Adventure,8.1,1959,Tous publics,212,English,United States,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."," Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith"
2022-12-15 09:34:49.946467,film,The Seventh Seal,Det sjunde inseglet,Drama,8.1,1957,Tous publics,96,,Sweden,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."," Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow, Bibi Andersson"
2022-12-15 09:35:00.816477,film,Wild Strawberries,Smultronstället,Drama,8.1,1957,Tous publics,91,,Sweden,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."," Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl"
2022-12-15 09:35:03.212298,film,On the Waterfront,On the Waterfront,Crime,8.1,1954,Tous publics,108,,United States,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ..., "," Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, Pat Henning"
2022-12-15 09:35:00.543672,film,The Third Man,The Third Man,Film-Noir,8.1,1949,Tous publics,93,,United Kingdom,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."," Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard, Paul Hörbiger"
2022-12-15 09:34:37.431947,film,The Best Years of Our Lives,The Best Years of Our Lives,Drama,8.1,1946,Tous publics,170,,United States,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."," Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo"
2022-12-15 09:34:34.203623,film,The Grapes of Wrath,The Grapes of Wrath,Drama,8.1,1940,Tous publics,129,,United States,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great..., "," Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin, Dorris Bowdon"
2022-12-15 09:34:34.258546,film,Rebecca,Rebecca,Drama,8.1,1940,Tous publics,130,,United States,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.," Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce"
2022-12-15 09:34:39.369478,film,The Wizard of Oz,The Wizard of Oz,Adventure,8.1,1939,Tous publics,102,English,United States,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu..., "," Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley"
2022-12-15 09:34:57.026348,film,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,Comedy,8.1,1939,Tous publics,129,,United States,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries..., "," Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee"
2022-12-15 09:34:31.450753,film,It Happened One Night,It Happened One Night,Comedy,8.1,1934,Tous publics,105,,United States,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin..., "," Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Alan Hale, Arthur Hoyt, Blanche Friderici, Charles C. Wilson, Ernie Adams, Jessie Arnold, Irving Bacon, William Bailey, William Begg, William A. Boardway, Ward Bond, Harry C. Bradley, George P. Breakston, Charles A. Browne, James Burke, Edmund Burns, Frank Capra, Ken Carson, Eddy Chandler"
2022-12-15 09:34:37.777697,film,The Incredibles,The Incredibles,Animation,8.0,2004,Tous publics,115,"English,French",United States,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."," Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee, Dominique Louis"
2022-12-15 09:34:29.939597,film,Aladdin,Aladdin,Animation,8.0,1992,Tous publics,90,English,United States,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.," Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker, Gilbert Gottfried, Douglas Seale, Charlie Adler, Jack Angel, Corey Burton, Philip L. Clarke, Jim Cummings, Jennifer Darling, Debi Derryberry, Bruce Gooch, Jerry Houser, Vera Lockwood, Sherry Lynn, Mickie McGowan, Patrick Pinney, Phil Proctor, Bruce Adler, Brad Kane, Lea Salonga, Hal Smith"
2022-12-15 09:34:30.919624,film,Life of Brian,Life of Brian,Comedy,8.0,1979,Tous publics avec avertissement,94,,United Kingdom,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."," Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland, Kenneth Colley, Neil Innes, Charles McKeown, John Young, Gwen Taylor, Sue Jones-Davies, Peter Brett, John Case, Chris Langham, Andrew MacLachlan, Bernard McKenna, Spike Milligan, Randy Feelgood, George Harrison, Charles Knode, Monty Python"
